d_npd,v_npd,d_pd,v_pd
0.002308,0,0.002308,0
0.752308,13.566,1.002308,18.088
1.502308,27.132,2.002308,36.174
2.252308,40.698,3.002308,54.261
3.002308,54.264,4.002308,72.347
3.752308,67.83,5.002308,90.432
4.502308,81.396,6.002308,108.516
5.252308,94.962,7.002308,126.6
6.002308,108.528,8.002308,144.684
6.752308,122.094,9.002308,162.766
7.502308,135.66,10.002308,180.849
8.252308,149.226,11.002308,198.93
9.002308,162.792,12.002308,217.011
9.752308,176.358,13.002308,235.092
10.502308,189.924,14.002308,253.172
11.252308,203.49,15.002308,271.251
12.002308,217.056,16.002308,289.33
12.752308,230.622,17.002308,307.408
13.502308,244.188,18.002308,325.486
14.252308,257.754,19.002308,343.563
15.002308,271.32,20.002308,361.64
15.752308,284.886,21.002308,379.716
16.502308,298.452,21.584732,390.244
17.252308,312.018,22.695506,407.868
18.002308,325.584,23.986209,419.496
18.752308,339.15,25.809069,429.13
19.502308,352.716,27.075738,433.648
20.252308,366.282,28.075738,436.391
21.002308,379.848,29.075738,439.131
21.562743,389.985,30.733194,443.278
22.401041,403.726,31.733194,445.677
23.085888,412.169,33.428618,449.132
24.072883,419.383,34.884815,451.374
24.854459,423.661,35.206256,451.845
25.604459,426.671,36.206256,452.743
26.621662,430.326,37.206256,453.64
28.030855,433.526,38.206256,454.522
28.780855,435.094,39.206256,455.405
29.530855,436.662,40.206256,456.296
31.013924,439.473,41.206256,457.164
31.763924,440.804,42.206256,458.023
33.228112,443.055,43.206256,458.881
33.978112,444.037,44.206256,459.749
34.728112,444.881,45.206256,460.572
35.478112,445.068,46.206256,461.395
36.228112,445.254,47.206256,462.218
36.978112,445.44,48.206256,463.009
37.728112,445.626,49.206256,463.812
38.478112,445.812,50.206256,464.603
39.228112,445.998,51.206256,465.394
39.978112,446.185,52.206256,466.138
40.728112,446.371,53.206256,466.893
41.478112,446.551,54.206256,467.637
42.228112,446.731,55.206256,468.382
42.978112,446.911,56.206256,469.126
43.728112,447.092,57.206256,469.882
44.478112,447.272,58.206256,470.627
45.228112,447.447,59.206256,471.371
45.978112,447.622,60.206256,472.116
46.728112,447.797,62.115755,473.504
47.478112,447.968,63.822665,474.652
48.228112,448.14,65.349147,475.412
48.978112,448.311,66.501547,475.824
49.728112,448.482,67.038011,475.928
50.478112,448.639,67.707077,476.003
51.228112,448.795,69.426818,475.69
51.978112,448.952,70.426818,475.469
52.662195,449.095,71.426818,475.231
52.662949,449.095,72.426818,475.005
53.412949,449.252,74.07067,474.479
53.413624,449.253,75.07067,474.14
53.866427,449.347,76.829196,473.483
53.867234,449.348,77.829196,473.111
54.38121,449.446,78.829196,472.723
54.38202,449.446,79.829196,472.341
55.13202,449.589,81.605017,471.317
55.655752,449.689,82.605017,470.677
55.656487,449.69,83.605017,470.054
55.656527,449.69,84.605017,469.414
56.387308,449.829,85.605017,468.792
56.388076,449.829,86.605017,468.152
56.736639,449.896,87.605017,467.53
56.7374,449.896,88.605017,466.891
56.737512,449.896,89.605017,466.269
57.24754,449.994,90.605017,465.63
57.248247,449.994,91.605017,465.009
57.998247,450.137,92.605017,464.371
58.748247,450.28,93.605017,463.75
59.498247,450.423,94.605017,463.112
59.932473,450.494,95.605017,462.484
59.933391,450.494,96.605017,461.839
60.683391,450.617,97.605017,461.212
60.684311,450.617,98.605017,460.567
61.434311,450.739,99.605017,459.932
62.075684,450.844,100.605017,459.256
62.076563,450.845,101.605017,458.597
62.826563,450.967,102.605017,457.921
62.827457,450.967,103.605017,457.262
63.577457,451.09,104.605017,456.577
63.578351,451.09,105.605017,455.909
64.328351,451.212,106.605017,455.225
65.078351,451.335,107.062981,454.915
65.828351,451.457,107.062983,454.915
66.578351,451.58,107.650052,454.479
67.328351,451.702,,
68.078351,451.825,,
68.828351,451.947,,
69.479102,452.053,,
69.480331,452.054,,
70.230331,452.177,,
70.980331,452.299,,
71.418134,452.37,,
71.419213,452.371,,
72.169213,452.493,,
72.919213,452.616,,
73.669213,452.738,,
74.419213,452.861,,
75.169213,452.983,,
75.919213,453.106,,
76.669213,453.228,,
77.419213,453.351,,
78.17043,453.473,,
78.791785,453.575,,
78.793092,453.575,,
80.181583,453.79,,
80.93275,453.902,,
81.68275,453.993,,
81.683878,453.993,,
82.433878,454.085,,
83.183878,454.176,,
83.933878,454.267,,
84.683878,454.359,,
85.433878,454.45,,
86.183878,454.541,,
86.933878,454.633,,
87.683878,454.724,,
88.433878,454.816,,
89.183878,454.907,,
89.933878,454.998,,
90.683878,455.09,,
91.433878,455.181,,
92.183878,455.272,,
92.933878,455.364,,
93.683878,455.455,,
94.433878,455.546,,
95.183878,455.638,,
95.933878,455.729,,
96.683878,455.82,,
97.433878,455.912,,
98.183878,456.003,,
98.933878,456.095,,
99.683878,456.186,,
101.084521,456.357,,
101.834521,456.448,,
102.585946,456.539,,
103.337346,456.631,,
103.338615,456.631,,
104.088615,456.693,,
104.673552,456.693,,
104.674615,456.693,,
105.424615,456.693,,
105.425677,456.694,,
106.175677,456.694,,
106.925677,456.694,,
107.675677,456.694,,
108.425677,456.694,,
109.175677,456.694,,
109.925677,456.694,,
110.675677,456.694,,
111.425677,456.694,,
112.175677,456.694,,
112.925677,456.694,,
113.675677,456.694,,
114.425677,456.694,,
115.175677,456.694,,
115.925677,456.694,,
116.675677,456.694,,
117.425677,456.694,,
118.175677,456.694,,
118.925677,456.694,,
119.675677,456.694,,
120.425677,456.694,,
121.175677,456.694,,
121.925677,456.694,,
122.675677,456.694,,
123.425677,456.694,,
124.175677,456.694,,
124.925677,456.694,,
125.675677,456.694,,
126.425677,456.694,,
127.175677,456.694,,
127.925677,456.694,,
128.675677,456.694,,
129.425677,456.694,,
130.175677,456.694,,
130.572263,456.694,,
130.573685,456.694,,
131.076232,456.694,,
131.077658,456.694,,
131.827658,456.694,,
132.577658,456.694,,
133.327658,456.694,,
134.077658,456.694,,
134.827658,456.694,,
135.577658,456.694,,
136.327658,456.694,,
137.077658,456.694,,
137.827658,456.694,,
138.577658,456.694,,
139.327658,456.694,,
140.077658,456.694,,
140.827658,456.694,,
141.551154,456.694,,
141.552499,456.694,,
142.032321,456.694,,
142.033667,456.694,,
142.783667,456.694,,
143.533667,456.694,,
144.283667,456.694,,
145.033667,456.694,,
145.783667,456.694,,
146.533667,456.694,,
147.283667,456.694,,
148.033667,456.694,,
148.783667,456.694,,
149.533667,456.694,,
150.002308,456.694,,
